Mach,CD Power-Off,CD Power-On
9.16,0.201984367,0.199783306
9.17,0.201896376,0.199699767
9.18,0.2018086,0.199616431
9.19,0.201721039,0.199533295
9.2,0.201633711,0.199450379
9.21,0.201546596,0.199367662
9.22,0.201459683,0.199285134
9.23,0.201373001,0.199202824
9.24,0.20128654,0.199120722
9.25,0.201200289,0.199038817
9.26,0.201114237,0.198957098
9.27,0.201028415,0.198875596
9.28,0.2009428,0.198794287
9.29,0.200857393,0.198713174
9.3,0.200772202,0.198632264
9.31,0.200687228,0.198551558
9.32,0.20060245,0.198471035
9.33,0.200517885,0.198390713
9.34,0.200433535,0.198310593
9.35,0.200349388,0.198230664
9.36,0.200265444,0.198150925
9.37,0.200181712,0.198071385
9.38,0.200098182,0.197992035
9.39,0.200014863,0.197912884
9.4,0.199931745,0.19783392
9.41,0.199848825,0.197755143
9.42,0.199766105,0.197676554
9.43,0.199683603,0.19759817
9.44,0.199601288,0.197519962
9.45,0.199519171,0.197441939
9.46,0.199437271,0.19736412
9.47,0.199355556,0.197286476
9.48,0.199274037,0.197209015
9.49,0.199192732,0.197131756
9.5,0.199111611,0.197054669
9.51,0.199030684,0.196977765
9.52,0.19894997,0.196901061
9.53,0.198869437,0.196824527
9.54,0.198789098,0.196748175
9.55,0.198708959,0.196672011
9.56,0.198629009,0.196596026
9.57,0.19854926,0.196520229
9.58,0.19846969,0.196444599
9.59,0.19839033,0.196369168
9.6,0.198311146,0.196293903
9.61,0.198232151,0.196218815
9.62,0.198153352,0.196143911
9.63,0.19807474,0.196069183
9.64,0.197996304,0.195994619
9.65,0.197918073,0.19592025
9.66,0.197840026,0.195846053
9.67,0.197762154,0.19577202
9.68,0.197684475,0.195698169
9.69,0.197606989,0.1956245
9.7,0.197529676,0.195550993
9.71,0.197452544,0.195477657
9.72,0.197375603,0.1954045
9.73,0.197298854,0.195331524
9.74,0.197222265,0.195258697
9.75,0.197145875,0.195186059
9.76,0.197069663,0.195113588
9.77,0.196993621,0.195041277
9.78,0.196917767,0.194969142
9.79,0.19684209,0.194897174
9.8,0.196766591,0.194825373
9.81,0.196691267,0.194753738
9.82,0.196616129,0.194682277
9.83,0.196541157,0.194610972
9.84,0.19646637,0.194539841
9.85,0.196391756,0.194468873
9.86,0.196317307,0.19439806
9.87,0.196243051,0.19432743
9.88,0.196168957,0.194256951
9.89,0.196095035,0.194186634
9.9,0.196021286,0.194116479
9.91,0.195947718,0.194046496
9.92,0.195874319,0.193976671
9.93,0.195801082,0.193906998
9.94,0.195728013,0.193837485
9.95,0.195655135,0.19376815
9.96,0.195582403,0.193698953
9.97,0.195509851,0.193629925
9.98,0.195437466,0.193561055
9.99,0.195365248,0.193492342
10,0.195293197,0.193423786
10.01,0.195271092,0.193405166
10.02,0.195246191,0.193383741
10.03,0.195221348,0.193362363
10.04,0.195196592,0.193341064
10.05,0.195171905,0.193319822
10.06,0.195147263,0.193298618
10.07,0.195122708,0.193277491
10.08,0.195098212,0.193256412
10.09,0.195073781,0.193235389
10.1,0.195049425,0.193214432
10.11,0.195025126,0.193193523
10.12,0.195000894,0.193172671
10.13,0.194976737,0.193151884
10.14,0.194952636,0.193131144
10.15,0.1949286,0.19311046
10.16,0.194904628,0.193089832
10.17,0.194880733,0.19306927
10.18,0.194856891,0.193048753
10.19,0.194833114,0.193028291
10.2,0.194809402,0.193007885
10.21,0.194785764,0.192987543
10.22,0.194762169,0.192967237
10.23,0.194738659,0.192947006
10.24,0.194715202,0.192926819
10.25,0.194691798,0.192906676
10.26,0.194668467,0.192886598
10.27,0.19464521,0.192866584
10.28,0.194621996,0.192846604
10.29,0.194598844,0.192826678
10.3,0.194575764,0.192806815
10.31,0.194552747,0.192787005
10.32,0.194529782,0.19276724
10.33,0.194506889,0.192747538
10.34,0.194484047,0.192727878
10.35,0.194461268,0.192708272
10.36,0.194438549,0.192688718
10.37,0.194415891,0.192669217
10.38,0.194393295,0.192649768
10.39,0.19437076,0.192630372
10.4,0.194348275,0.192611018
10.41,0.194325861,0.192591726
10.42,0.194303496,0.192572475
10.43,0.194281203,0.192553287
10.44,0.19425895,0.192534131
10.45,0.194236765,0.192515036
10.46,0.194214651,0.192496002
10.47,0.194192576,0.192477
10.48,0.19417056,0.192458048
10.49,0.194148614,0.192439157
10.5,0.194126726,0.192420316
10.51,0.194104877,0.192401507
10.52,0.194083107,0.192382769
10.53,0.194061385,0.19236407
10.54,0.194039711,0.192345411
10.55,0.194018096,0.192326803
10.56,0.193996548,0.192308255
10.57,0.193975039,0.192289737
10.58,0.193953608,0.192271288
10.59,0.193932222,0.192252878
10.6,0.193910885,0.192234508
10.61,0.193889614,0.192216198
10.62,0.193868392,0.192197927
10.63,0.193847215,0.192179694
10.64,0.193826105,0.192161521
10.65,0.193805052,0.192143395
10.66,0.193784056,0.19212532
10.67,0.193763105,0.192107282
10.68,0.19374221,0.192089293
10.69,0.193721371,0.192071351
10.7,0.193700578,0.192053448
10.71,0.19367984,0.192035593
10.72,0.193659168,0.192017796
10.73,0.193638532,0.192000027
10.74,0.19361796,0.191982315
10.75,0.193597443,0.19196465
10.76,0.19357696,0.191947013
10.77,0.193556553,0.191929443
10.78,0.19353618,0.1919119
10.79,0.193515862,0.191894404
10.8,0.193495607,0.191876965
10.81,0.193475397,0.191859563
10.82,0.193455241,0.191842208
10.83,0.193435127,0.191824888
10.84,0.193415079,0.191807626
10.85,0.193395064,0.191790389
10.86,0.193375112,0.191773209
10.87,0.193355202,0.191756064
10.88,0.193335357,0.191738976
10.89,0.193315543,0.191721913
10.9,0.193295792,0.191704905
10.91,0.193276085,0.191687934
10.92,0.193256429,0.191671007
10.93,0.193236817,0.191654117
10.94,0.193217266,0.191637281
10.95,0.193197757,0.19162048
10.96,0.193178301,0.191603725
10.97,0.193158895,0.191587013
10.98,0.193139532,0.191570338
10.99,0.193120221,0.191553706
11,0.19310095,0.191537109
11.01,0.193081741,0.191520566
11.02,0.193062572,0.191504057
11.03,0.193043445,0.191487583
11.04,0.193024379,0.191471163
11.05,0.193005343,0.191454768
11.06,0.192986368,0.191438425
11.07,0.192967444,0.191422127
11.08,0.192948548,0.191405851
11.09,0.192929715,0.19138963
11.1,0.192910931,0.191373452
11.11,0.192892186,0.191357307
11.12,0.192873491,0.191341205
11.13,0.192854836,0.191325136
11.14,0.192836231,0.191309111
11.15,0.192817675,0.191293127
11.16,0.192799158,0.191277177
11.17,0.192780691,0.19126127
11.18,0.192762261,0.191245395
11.19,0.192743891,0.191229572
11.2,0.192725561,0.191213783
11.21,0.192707268,0.191198025
11.22,0.192689035,0.191182319
11.23,0.192670838,0.191166645
11.24,0.192652671,0.191150993
11.25,0.192634573,0.191135403
11.26,0.192616511,0.191119844
11.27,0.192598488,0.191104318
11.28,0.192580502,0.191088823
11.29,0.192562574,0.191073379
11.3,0.192544694,0.191057977
11.31,0.192526841,0.191042596
11.32,0.192509045,0.191027265
11.33,0.192491286,0.191011966
11.34,0.192473565,0.190996698
11.35,0.19245589,0.190981471
11.36,0.192438273,0.190966295
11.37,0.192420672,0.190951129
11.38,0.192403137,0.190936022
11.39,0.192385629,0.190920937
11.4,0.192368167,0.190905893
11.41,0.192350751,0.190890888
11.42,0.192333383,0.190875925
11.43,0.192316049,0.19086099
11.44,0.192298751,0.190846085
11.45,0.1922815,0.190831221
11.46,0.192264294,0.190816397
11.47,0.192247124,0.190801602
11.48,0.192229998,0.190786846
11.49,0.192212909,0.190772121
11.5,0.192195864,0.190757434
11.51,0.192178864,0.190742786
11.52,0.1921619,0.190728169
11.53,0.19214497,0.19071358
11.54,0.192128095,0.19069904
11.55,0.192111255,0.190684529
11.56,0.192094449,0.190670047
11.57,0.192077688,0.190655604
11.58,0.192060961,0.190641189
11.59,0.192044278,0.190626813
11.6,0.19202764,0.190612475
11.61,0.192011035,0.190598166
11.62,0.191994475,0.190583895
11.63,0.191977938,0.190569643
11.64,0.191961455,0.190555439
11.65,0.191945015,0.190541272
11.66,0.191928599,0.190527124
11.67,0.191912237,0.190513024
11.68,0.191895906,0.19049895
11.69,0.1918796,0.190484895
11.7,0.191863358,0.190470899
11.71,0.191847147,0.190456928
11.72,0.19183096,0.190442976
11.73,0.191814815,0.190429061
11.74,0.191798724,0.190415194
11.75,0.191782664,0.190401353
11.76,0.191766628,0.190387531
11.77,0.191750643,0.190373754
11.78,0.19173469,0.190360004
11.79,0.19171877,0.190346282
11.8,0.191702903,0.190332606
11.81,0.191687056,0.190318947
11.82,0.191671253,0.190305325
11.83,0.191655489,0.190291739
11.84,0.191639759,0.190278179
11.85,0.191624059,0.190264646
11.86,0.191608413,0.190251161
11.87,0.191592786,0.19023769
11.88,0.191577201,0.190224256
11.89,0.191561657,0.190210858
11.9,0.191546144,0.190197485
11.91,0.191530662,0.190184139
11.92,0.191515222,0.190170829
11.93,0.191499821,0.190157554
11.94,0.191484452,0.190144305
11.95,0.191469114,0.190131082
11.96,0.191453815,0.190117894
11.97,0.191438559,0.190104742
11.98,0.191423321,0.190091605
11.99,0.191408134,0.190078513
12,0.191392976,0.190065446
12.01,0.19137785,0.190052405
12.02,0.191362763,0.190039399
12.03,0.191347706,0.190026418
12.04,0.191332689,0.190013471
12.05,0.191317701,0.190000549
